categoryId,name,path,classification,revisedAction,reason,listingCount,productCount
cms93j5l1001vuz3gboidp5m9,Sıfır,sifir-urun,B_ALIAS_OR_REVIEW,KEEP,has active children — cannot ARCHIVE,4,0
cmsg3xg18000zuzdct7y3h84l,Akıllı Saat & Bileklik,sifir-urun/elektronik/telefon-ve-aksesuar/cep-telefonu/akilli-saat,B_ALIAS_OR_REVIEW,RENAME,semantic match EXACT score=1.00 → Elektronik › Telefon ve Aksesuar › Giyilebilir Teknoloji › Akıllı Saat,0,0
cmsg3xg1g0011uzdcfo9uiwzh,Kulaklık & Bluetooth,sifir-urun/elektronik/telefon-ve-aksesuar/cep-telefonu/kulaklik,B_ALIAS_OR_REVIEW,RENAME,semantic match EXACT score=1.00 → Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları › Bluetooth Kulaklık,0,0
cmsg3xg250015uzdcac1tp3f4,Kılıf & Koruyucu,sifir-urun/elektronik/telefon-ve-aksesuar/cep-telefonu/kilif-aksesuar,A_OBSOLETE,ARCHIVE_CONFIRMED,no semantic target; no commercial rows; only CategoryBrand/Attribute/Model links (seed) — archive with link cleanup in transaction,0,0
cmsg3xg2e0017uzdcsodciep8,Diğer Aksesuar,sifir-urun/elektronik/telefon-ve-aksesuar/cep-telefonu/diger-aksesuar,A_OBSOLETE,ARCHIVE_CONFIRMED,no semantic target; no commercial rows; only CategoryBrand/Attribute/Model links (seed) — archive with link cleanup in transaction,0,0
cmsg3xg2n0019uzdc9ltguw8a,Yenilenmiş Telefon,sifir-urun/elektronik/telefon-ve-aksesuar/cep-telefonu/yenilenmis-telefon,A_OBSOLETE,ARCHIVE_CONFIRMED,no semantic target; no commercial rows; only CategoryBrand/Attribute/Model links (seed) — archive with link cleanup in transaction,0,0
cmsg3xg3m001huzdc7fdghxgl,Şarj Cihazı,sifir-urun/elektronik/telefon-ve-aksesuar/cep-telefonu/sarj-cihazi,B_ALIAS_OR_REVIEW,MANUAL_REVIEW,possible alias/move MEDIUM → Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları › Kablosuz Şarj Cihazı,0,0
cmsg3xg46001luzdc6nkzdram,Araç Telefon Aksesuarı,sifir-urun/elektronik/telefon-ve-aksesuar/cep-telefonu/arac-telefon-aksesuari,A_OBSOLETE,ARCHIVE_CONFIRMED,no semantic target; no commercial rows; only CategoryBrand/Attribute/Model links (seed) — archive with link cleanup in transaction,0,0
cmsg3xg4p001nuzdcfo07dap1,Telefon Yedek Parçası,sifir-urun/elektronik/telefon-ve-aksesuar/cep-telefonu/telefon-yedek-parca,A_OBSOLETE,ARCHIVE_CONFIRMED,no semantic target; no commercial rows; only CategoryBrand/Attribute/Model links (seed) — archive with link cleanup in transaction,0,0
cmsg3xgb4002fuzdc9803rtxy,Dizüstü (Notebook),sifir-urun/elektronik/bilgisayar-ve-tablet/bilgisayar/dizustu,D_REPARENT,MOVE,semantic match HIGH score=1.00 → Elektronik › Bilgisayar ve Tablet › Bilgisayar › Dizüstü Bilgisayar,0,0
cmsg3xgbp002huzdcc5tcrs10,Masaüstü,sifir-urun/elektronik/bilgisayar-ve-tablet/bilgisayar/masaustu,A_OBSOLETE,ARCHIVE_CONFIRMED,no semantic target; no commercial rows; only CategoryBrand/Attribute/Model links (seed) — archive with link cleanup in transaction,0,0
cmsg3xgg0002ruzdcqrjb1co0,"Parça (RAM, SSD, Ekran Kartı…)",sifir-urun/elektronik/bilgisayar-ve-tablet/bilgisayar/bilgisayar-parcasi,A_OBSOLETE,ARCHIVE_CONFIRMED,no semantic target; no commercial rows; only CategoryBrand/Attribute/Model links (seed) — archive with link cleanup in transaction,0,0
cmsg3xgg9002tuzdctxioz346,"Klavye, Mouse & Çevre Birimi",sifir-urun/elektronik/bilgisayar-ve-tablet/bilgisayar/cevre-birimi,A_OBSOLETE,ARCHIVE_CONFIRMED,no semantic target; no commercial rows; only CategoryBrand/Attribute/Model links (seed) — archive with link cleanup in transaction,0,0
cmsg3xggl002vuzdc797cj1tk,Network & Modem,sifir-urun/elektronik/bilgisayar-ve-tablet/bilgisayar/network,A_OBSOLETE,ARCHIVE_CONFIRMED,no semantic target; no commercial rows; only CategoryBrand/Attribute/Model links (seed) — archive with link cleanup in transaction,0,0
cmsg3xggw002xuzdcmr7bli1s,Yazılım,sifir-urun/elektronik/bilgisayar-ve-tablet/bilgisayar/yazilim,A_OBSOLETE,ARCHIVE_CONFIRMED,no semantic target; no commercial rows; only CategoryBrand/Attribute/Model links (seed) — archive with link cleanup in transaction,0,0
cms93j5p80031uz3g0ifpzc1a,Müzik,sifir-urun/sifir-urun-muzik,D_REPARENT,MOVE,Hobi ve Oyun altına taşınabilir veya ADD,0,0
cms93j5pg0033uz3gj3ie66g7,Ofis & Kırtasiye,sifir-urun/sifir-urun-ofis-kirtasiye,B_ALIAS_OR_REVIEW,RENAME,"semantic match EXACT score=1.00 → Kitap, Kırtasiye ve Ofis",1,0
cms93j5pn0035uz3guja0tfco,Antika & Koleksiyon,sifir-urun/sifir-urun-antika-koleksiyon,B_ALIAS_OR_REVIEW,KEEP,has active children — cannot ARCHIVE,0,0
cms93j5q50039uz3gnhdqjrvs,Yiyecek & İçecek,sifir-urun/sifir-urun-yiyecek-icecek,C_ADD_TO_TARGET,ADD_TO_TARGET_TREE,Yiyecek/İçecek — kapsam kararı: hedef MD'de yok; ticari olarak eklenebilir veya bilinçli dışarıda,0,0
cmsdkecae003huzyc6uys6m47,İş Makineleri,sifir-urun/sifir-urun-is-makinesi,B_ALIAS_OR_REVIEW,RENAME,semantic match EXACT score=1.00 → Endüstriyel ve Ticari Ürünler,0,0
cmsdkecak003juzycjc0pp98j,Tarım Makineleri,sifir-urun/sifir-urun-tarim-makinesi,B_ALIAS_OR_REVIEW,RENAME,semantic match EXACT score=1.00 → Endüstriyel ve Ticari Ürünler,0,0
cms93j5ma0029uz3gdtgnknvu,Ev Elektroniği,sifir-urun/sifir-urun-ev-elektronigi,D_REPARENT,MERGE,Elektronik altına fold — children MANUAL_REVIEW,1,0
cms93j5nj002luz3g1ovcvwie,"Saat, Takı & Mücevher",sifir-urun/sifir-urun-saat-taki,C_ADD_TO_TARGET,ADD_TO_TARGET_TREE,Saat/Takı — Moda veya Elektronik altında eksik olabilir; ADD önerisi,0,0
cms93j5nq002nuz3g1h9mrras,Kişisel Bakım & Kozmetik,sifir-urun/sifir-urun-kisisel-bakim,B_ALIAS_OR_REVIEW,RENAME,semantic match EXACT score=1.00 → Kozmetik ve Kişisel Bakım,0,0
cms93j5ny002puz3ghofscas0,Anne & Bebek,sifir-urun/sifir-urun-anne-bebek,D_REPARENT,MOVE,"semantic match HIGH score=1.00 → Anne, Bebek ve Çocuk",0,0
cms93j5oc002tuz3gqj1lq1rr,Bahçe & Yapı Market,sifir-urun/sifir-urun-bahce-yapi-market,B_ALIAS_OR_REVIEW,RENAME,semantic match EXACT score=1.00 → Bahçe ve Yapı,0,0
cms93j5or002xuz3gee4atdma,Hobi & Oyuncak,sifir-urun/sifir-urun-hobi-oyuncak,B_ALIAS_OR_REVIEW,RENAME,semantic match EXACT score=1.00 → Hobi ve Oyun,1,0
cms93j5oz002zuz3gnhm3q5gn,"Kitap, Dergi & Film",sifir-urun/sifir-urun-kitap-dergi-film,B_ALIAS_OR_REVIEW,RENAME,"semantic match EXACT score=1.00 → Kitap, Kırtasiye ve Ofis",1,0
cmsdkecar003luzyc7d1wqrb7,Sanayi Makineleri,sifir-urun/sifir-urun-sanayi-makinesi,B_ALIAS_OR_REVIEW,RENAME,semantic match EXACT score=1.00 → Endüstriyel ve Ticari Ürünler,0,0
cms93j5qc003buz3g50apc5vu,Diğer Her Şey,sifir-urun/sifir-urun-diger-alisveris,B_ALIAS_OR_REVIEW,MANUAL_REVIEW,Diğer Her Şey — catch-all; ARCHIVE veya POLICY_ONLY,0,0
cmsg3xgj80037uzdcbfpvakj4,Tablet Aksesuar,sifir-urun/elektronik/bilgisayar-ve-tablet/tablet/tablet-aksesuar,A_OBSOLETE,ARCHIVE_CONFIRMED,no semantic target; no commercial rows; only CategoryBrand/Attribute/Model links (seed) — archive with link cleanup in transaction,0,0
cmsg3xguk0057uzdckk84z04k,Fırın & Ocak,sifir-urun/ev-aletleri/beyaz-esya/beyaz-esya/firin-ocak,A_OBSOLETE,ARCHIVE_CONFIRMED,no semantic target; no commercial rows; only CategoryBrand/Attribute/Model links (seed) — archive with link cleanup in transaction,0,0
cmsg3xgv7005duzdc7yd6gsvx,Kombi & Termosifon,sifir-urun/ev-aletleri/beyaz-esya/beyaz-esya/kombi-termosifon,A_OBSOLETE,ARCHIVE_CONFIRMED,no semantic target; no commercial rows; only CategoryBrand/Attribute/Model links (seed) — archive with link cleanup in transaction,0,0
cmsg3xgve005fuzdcqx1ux0ep,Diğer,sifir-urun/ev-aletleri/beyaz-esya/beyaz-esya/diger-beyaz-esya,A_OBSOLETE,ARCHIVE_CONFIRMED,no semantic target; no commercial rows; only CategoryBrand/Attribute/Model links (seed) — archive with link cleanup in transaction,0,0
cmsg3xgvm005huzdcjd0j97tj,Tek Kapılı Buzdolabı,sifir-urun/ev-aletleri/beyaz-esya/beyaz-esya/tek-kapili,A_OBSOLETE,ARCHIVE_CONFIRMED,no semantic target; no commercial rows; only CategoryBrand/Attribute/Model links (seed) — archive with link cleanup in transaction,0,0
cmsg3xgvz005juzdc4tdlnfvm,Çift Kapılı Buzdolabı,sifir-urun/ev-aletleri/beyaz-esya/beyaz-esya/cift-kapili,A_OBSOLETE,ARCHIVE_CONFIRMED,no semantic target; no commercial rows; only CategoryBrand/Attribute/Model links (seed) — archive with link cleanup in transaction,0,0
cmsg3xgwd005luzdczbg5qdwz,No Frost,sifir-urun/ev-aletleri/beyaz-esya/beyaz-esya/no-frost,A_OBSOLETE,ARCHIVE_CONFIRMED,no semantic target; no commercial rows; only CategoryBrand/Attribute/Model links (seed) — archive with link cleanup in transaction,0,0
cmsg3xgwl005nuzdcgpl7tkao,Gardırop Tipi,sifir-urun/ev-aletleri/beyaz-esya/beyaz-esya/gardirop-tipi,A_OBSOLETE,ARCHIVE_CONFIRMED,no semantic target; no commercial rows; only CategoryBrand/Attribute/Model links (seed) — archive with link cleanup in transaction,0,0
cmsg3xh91008fuzdc774prz92,Fotoğraf Makinesi,sifir-urun/elektronik/fotograf-ve-kamera/fotograf-kamera/fotograf-makinesi,B_ALIAS_OR_REVIEW,MANUAL_REVIEW,"possible alias/move MEDIUM → Elektronik › Televizyon, Görüntü ve Ses › Fotoğraf ve Video › Dijital Fotoğraf Makinesi",0,0
cmsg3xh9m008luzdc2lhby8xv,Objektif,sifir-urun/elektronik/fotograf-ve-kamera/fotograf-kamera/objektif,A_OBSOLETE,ARCHIVE_CONFIRMED,no semantic target; no commercial rows; only CategoryBrand/Attribute/Model links (seed) — archive with link cleanup in transaction,0,0
cmsg3xh9u008nuzdcn9mpo67o,Tripod & Aksesuar,sifir-urun/elektronik/fotograf-ve-kamera/fotograf-kamera/tripod-aksesuar,B_ALIAS_OR_REVIEW,SPLIT,compound node — split candidate,0,0
cmsg3xh7e0081uzdc7qnjowfz,Oyun (CD / Dijital),sifir-urun/elektronik/oyun-ve-konsol/oyun-konsol/oyun,A_OBSOLETE,ARCHIVE_CONFIRMED,no semantic target; no commercial rows; only CategoryBrand/Attribute/Model links (seed) — archive with link cleanup in transaction,0,0
cmsg3xh54007juzdcu4xw1fg8,Isıtıcı & Fan,sifir-urun/sifir-urun-ev-elektronigi/isiticilar,A_OBSOLETE,ARCHIVE_CONFIRMED,no semantic target; no commercial rows; only CategoryBrand/Attribute/Model links (seed) — archive with link cleanup in transaction,0,0
cmsg3xh5d007luzdc8wcf168q,Nem Alma & Hava Temizleyici,sifir-urun/sifir-urun-ev-elektronigi/nem-alici,B_ALIAS_OR_REVIEW,MANUAL_REVIEW,possible alias/move MEDIUM → Ev Aletleri › Küçük Ev Aletleri › Hava Kalitesi › Hava Temizleyici,0,0
