categoryPath,parentPath,siblingCount,issues,recommendMerge,notes
Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları › Telefon Kılıfı,Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları,12,micro_dense_sibling,false,report only — no merge without approval
Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları › Ekran Koruyucu,Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları,12,micro_dense_sibling,false,report only — no merge without approval
Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları › Şarj Adaptörü,Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları,12,micro_dense_sibling,false,report only — no merge without approval
Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları › Şarj Kablosu,Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları,12,micro_dense_sibling,false,report only — no merge without approval
Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları › Kablosuz Şarj Cihazı,Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları,12,micro_dense_sibling,false,report only — no merge without approval
Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları › Powerbank,Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları,12,micro_dense_sibling,false,report only — no merge without approval
Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları › Araç İçi Telefon Tutucu,Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları,12,micro_dense_sibling,false,report only — no merge without approval
Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları › Masaüstü Telefon Standı,Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları,12,micro_dense_sibling,false,report only — no merge without approval
Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları › Selfie Çubuğu,Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları,12,micro_dense_sibling,false,report only — no merge without approval
Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları › Bluetooth Kulaklık,Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları,12,micro_dense_sibling,false,report only — no merge without approval
Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları › Kablolu Kulaklık,Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları,12,micro_dense_sibling,false,report only — no merge without approval
Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları › Telefon Yedek Parça,Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları,12,micro_dense_sibling,false,report only — no merge without approval
Elektronik › Bilgisayar ve Tablet › Bilgisayar Bileşenleri › İşlemci,Elektronik › Bilgisayar ve Tablet › Bilgisayar Bileşenleri,12,micro_dense_sibling,false,report only — no merge without approval
Elektronik › Bilgisayar ve Tablet › Bilgisayar Bileşenleri › Anakart,Elektronik › Bilgisayar ve Tablet › Bilgisayar Bileşenleri,12,micro_dense_sibling,false,report only — no merge without approval
Elektronik › Bilgisayar ve Tablet › Bilgisayar Bileşenleri › Ekran Kartı,Elektronik › Bilgisayar ve Tablet › Bilgisayar Bileşenleri,12,micro_dense_sibling,false,report only — no merge without approval
Elektronik › Bilgisayar ve Tablet › Bilgisayar Bileşenleri › RAM,Elektronik › Bilgisayar ve Tablet › Bilgisayar Bileşenleri,12,micro_dense_sibling|very_short_name,false,report only — no merge without approval
Elektronik › Bilgisayar ve Tablet › Bilgisayar Bileşenleri › SSD,Elektronik › Bilgisayar ve Tablet › Bilgisayar Bileşenleri,12,micro_dense_sibling|very_short_name,false,report only — no merge without approval
Elektronik › Bilgisayar ve Tablet › Bilgisayar Bileşenleri › Hard Disk,Elektronik › Bilgisayar ve Tablet › Bilgisayar Bileşenleri,12,micro_dense_sibling,false,report only — no merge without approval
Elektronik › Bilgisayar ve Tablet › Bilgisayar Bileşenleri › Bilgisayar Kasası,Elektronik › Bilgisayar ve Tablet › Bilgisayar Bileşenleri,12,micro_dense_sibling,false,report only — no merge without approval
Elektronik › Bilgisayar ve Tablet › Bilgisayar Bileşenleri › Güç Kaynağı,Elektronik › Bilgisayar ve Tablet › Bilgisayar Bileşenleri,12,micro_dense_sibling,false,report only — no merge without approval
Elektronik › Bilgisayar ve Tablet › Bilgisayar Bileşenleri › İşlemci Soğutucu,Elektronik › Bilgisayar ve Tablet › Bilgisayar Bileşenleri,12,micro_dense_sibling,false,report only — no merge without approval
Elektronik › Bilgisayar ve Tablet › Bilgisayar Bileşenleri › Kasa Fanı,Elektronik › Bilgisayar ve Tablet › Bilgisayar Bileşenleri,12,micro_dense_sibling,false,report only — no merge without approval
Elektronik › Bilgisayar ve Tablet › Bilgisayar Bileşenleri › Optik Sürücü,Elektronik › Bilgisayar ve Tablet › Bilgisayar Bileşenleri,12,micro_dense_sibling,false,report only — no merge without approval
